============================================================
Nights with ≥3 stars available (good for 2-3 day observing runs):
============================================================
  2027-06-01  (Jun): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 369489, 370939
  2027-06-02  (Jun): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 369489, 370939
  2027-06-03  (Jun): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 369489, 370939
  2027-06-04  (Jun): 10 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 350909, 369489, 370939
  2027-06-05  (Jun): 10 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 350909, 369489, 370939
  2027-06-06  (Jun): 10 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 350909, 369489, 370939
  2027-06-07  (Jun): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 350909, 369489, 370939
  2027-06-08  (Jun): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 350909, 369489, 370939
  2027-06-09  (Jun): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 350909, 369489, 370939
  2027-06-10  (Jun): 8 stars — 327657, 327764, 336199, 340664, 340669, 350909, 369489, 370939
  2027-06-11  (Jun): 8 stars — 327657, 327764, 336199, 340664, 340669, 350909, 369489, 370939
  2027-06-12  (Jun): 12 stars — 327657, 327764, 336199, 340664, 340669, 350909, 369489, 370939, 393890, 477014, 477079, 477081
  2027-06-13  (Jun): 12 stars — 327657, 327764, 336199, 340664, 340669, 350909, 369489, 370939, 393890, 477014, 477079, 477081
  2027-06-14  (Jun): 12 stars — 327764, 336199, 340664, 340669, 350909, 369489, 370939, 393890, 477014, 477079, 477081, 477343
  2027-06-15  (Jun): 15 stars — 327764, 336199, 340664, 340669, 350909, 369489, 370939, 393890, 460860, 477014, 477079, 477081, 477145, 477343, 477344
  2027-06-16  (Jun): 14 stars — 327764, 340664, 340669, 350909, 369489, 370939, 393890, 460860, 477014, 477079, 477081, 477145, 477343, 477344
  2027-06-17  (Jun): 14 stars — 327764, 340664, 340669, 350909, 369489, 370939, 393890, 460860, 477014, 477079, 477081, 477145, 477343, 477344
  2027-06-18  (Jun): 15 stars — 327764, 340664, 340669, 350909, 369489, 370939, 393890, 460860, 477014, 477079, 477081, 477145, 477343, 477344, 477345
  2027-06-19  (Jun): 16 stars — 327764, 340664, 340669, 350909, 369489, 370939, 374008, 393890, 460860, 477014, 477079, 477081, 477145, 477343, 477344, 477345
  2027-06-20  (Jun): 14 stars — 340664, 340669, 350909, 369489, 374008, 393890, 460860, 477014, 477079, 477081, 477145, 477343, 477344, 477345
  2027-06-21  (Jun): 13 stars — 340669, 350909, 369489, 374008, 393890, 460860, 477014, 477079, 477081, 477145, 477343, 477344, 477345
  2027-06-22  (Jun): 13 stars — 340669, 350909, 369489, 374008, 393890, 460860, 477014, 477079, 477081, 477145, 477343, 477344, 477345
  2027-06-23  (Jun): 14 stars — 340669, 350909, 369489, 374008, 393890, 460860, 477014, 477079, 477081, 477145, 477343, 477344, 477345, 885107
  2027-06-24  (Jun): 14 stars — 340669, 350909, 369489, 374008, 393890, 460860, 477014, 477079, 477081, 477145, 477343, 477344, 477345, 885107
  2027-06-25  (Jun): 15 stars — 340669, 350909, 369489, 369497, 374008, 393890, 460860, 477014, 477079, 477081, 477145, 477343, 477344, 477345, 885107
  2027-06-26  (Jun): 17 stars — 340669, 350909, 369489, 369497, 374008, 393890, 460860, 473548, 477014, 477079, 477081, 477145, 477343, 477344, 477345, 654217, 885107
  2027-06-27  (Jun): 17 stars — 340669, 350909, 369489, 374008, 393890, 460860, 473548, 477014, 477079, 477081, 477145, 477343, 477344, 477345, 654217, 885101, 885107
  2027-06-28  (Jun): 18 stars — 340669, 350909, 369489, 374008, 393890, 460860, 469983, 473548, 473549, 477014, 477079, 477081, 477084, 477145, 477344, 654217, 885101, 885107
  2027-06-29  (Jun): 17 stars — 340669, 350909, 369489, 374008, 393890, 460860, 469983, 473548, 477014, 477079, 477081, 477084, 477145, 477344, 654217, 885101, 885107
  2027-06-30  (Jun): 17 stars — 340669, 350909, 369489, 374008, 393890, 460860, 469983, 473548, 477014, 477079, 477081, 477084, 477145, 477344, 654217, 885101, 885107
